,ACC,ACP,AVAILABLE,BIAS,BMAX,BMIN,BRB,BREP,BRM1,BRM2,DR,ENABLED,FORE,FROM FILE,ID,IMAX,IMIN,KMPOST,LINE,MODE,MREP,MULT,NFD,NOTE,NREP,OFF,OMAX,OMIN,OPENPATH,OREP,OUTOFRANGE,RANGE,RAW.UNITS,RB,RDR,REP,RULE,SCALING,SDB,SP,TAGS,TAVE,TEB,TOUT,VAL,XACC,XBRB,XBREP,XCOORD,XMREP,XNREP,XOREP,XRB,XRDR,XREP,YCOORD
,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,PERCENT,PERCENT/MIN,PERCENT,n/a,PERCENT,PERCENT,PERCENT,PERCENT/MIN,PERCENT/MIN,PERCENT,n/a
EDNBG-A0-TMLS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,4288,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,EDNBG TMP,,,1,,,,,19569,,,,,,,2084
EDNBG-A0-TS,,,0,,80,-39,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,80,-39,0,4319,ON,,,3,,5000,,80,-39,0,,0,,,,,0.25,LINEAR,DISABLED,,0.08333,EDNBG TMP,,,1,,,,,19542,,,,,,,2482
EDNBG-FLOW,,,0,,6625,-4999,,10000,,,HF_EDNBG:SQ,1,,INPREP_INC\KSTA\LDS\EDNBG.INC,,6625,-4999,0,75,ON,,,3,,5000,,6625,-100,0,,0,,,,,0,LINEAR,DISABLED,,0.08333,EDNBG FLW,,,1,0,,,,19661,,,,,,,2573
ELMCK-A0-LTP-MOVBP,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,4349,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,ELMCK BV,,,1,,,,,17995,,,,,,,1616
ELMCK-A0-LTP-MOVKCK,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,4380,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,ELMCK BV,,,1,,,,,17998,,,,,,,1707
ELMCK-A0-LTP-MOVOUT,,,0,,4,-1,,10000,,,,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,4,0.5,0,4396,ON,,,3,,5000,,4,-1,0,,0,,,,,0.001,EARLY,DISABLED,,0.08333,ELMCK BV,,,1,,,,,17997,,,,,,,1662
ELMCK-A0-PD-VIRT,,,0,,15000,-99,,10000,,,MON_ELMCK_A0_PD_VIRT:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,4474,ON,,,3,,5000,,15000,-99,0,,0,,,,,1e-06,LINEAR,DISABLED,,0.08333,ELMCK PRS,,,1,0,,,,17993,,,,,,,1546
ELMCK-A0-PMLD,,,0,,15000,-99,,10000,,,MON_ELMCK_A0_PMLD:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,4427,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,ELMCK PRS,,,1,,,,,17844,,,,,,,1702
ELMCK-A0-PMLS,,,0,,15000,-99,,10000,,,MON_ELMCK_A0_PMLS:SP,1,,INPREP_INC\KSTA\KSTA_SCADA.INC,,15000,-99,0,4458,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,ELMCK PRS,,,1,,,,,17840,,,,,,,1192
ELMCK-A0-PS,,,0,,15000,-99,,10000,,,,1,,INPREP_INC\KSTA\LDS\ELMCK.INC,,15000,-99,0,10,ON,,,3,,5000,,15000,-99,0,,0,,,,,1000,LINEAR,DISABLED,,0.08333,ELMCK PRS,,,1,,,,,18002,,,,,,,1482
