,Opening Time,Valve Coef (dimensionless)
,MIN,n/a
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,11.306,13000
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,11.421,16000
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,11.537,22000
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,11.653,30000
BALL_NPS30_PS_CAN_12MIN_FLANGED_OPEN,12,160100
BALL_NPS30_PS_CAN_12MIN_OPEN,0,0
BALL_NPS30_PS_CAN_12MIN_OPEN,8.611,500
BALL_NPS30_PS_CAN_12MIN_OPEN,10.333,800
BALL_NPS30_PS_CAN_12MIN_OPEN,10.38,1000
BALL_NPS30_PS_CAN_12MIN_OPEN,10.495,1550
BALL_NPS30_PS_CAN_12MIN_OPEN,10.611,2400
BALL_NPS30_PS_CAN_12MIN_OPEN,10.727,3200
BALL_NPS30_PS_CAN_12MIN_OPEN,10.843,4400
BALL_NPS30_PS_CAN_12MIN_OPEN,10.958,5800
BALL_NPS30_PS_CAN_12MIN_OPEN,11.074,7700
BALL_NPS30_PS_CAN_12MIN_OPEN,11.19,9600
BALL_NPS30_PS_CAN_12MIN_OPEN,11.306,13000
BALL_NPS30_PS_CAN_12MIN_OPEN,11.421,16000
BALL_NPS30_PS_CAN_12MIN_OPEN,11.537,22000
BALL_NPS30_PS_CAN_12MIN_OPEN,11.653,30000
BALL_NPS30_PS_CAN_12MIN_OPEN,12,184400
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,0,0
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,7.523,500
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,10.031,1000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,12.539,1550
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.542,1890
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.611,2400
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.727,3200
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.843,4400
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,13.958,5800
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.074,7700
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.19,9600
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.306,13000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.421,16000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.537,22000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,14.653,30000
BALL_NPS30_PS_CAN_15MIN_30_70_OPEN,15,184400
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,0,0
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,11.111,500
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.333,800
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.38,1000
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.495,1550
BALL_NPS30_PS_CAN_15MIN_FLANGED_OPEN,13.611,2400
